Feature,Cluster
0,1
1,2
2,2
3,1
4,2
5,1
6,2
7,2
8,1
9,2
10,1
11,2
12,1
13,1
14,2
15,1
16,1
17,2
18,2
19,2
20,2
21,1
22,2
23,2
24,1
25,2
26,2
27,1
28,2
29,1
30,2
31,2
32,2
33,2
34,1
35,2
36,2
37,1
38,1
39,1
40,1
41,2
42,2
43,2
44,1
45,1
46,1
47,2
48,2
49,1
50,2
51,1
52,1
53,1
54,2
55,1
56,1
57,2
58,1
59,2
60,2
61,1
62,2
63,2
64,1
65,1
66,1
67,2
68,2
69,2
70,1
71,2
72,1
73,1
74,2
75,1
76,1
77,2
78,2
79,1
80,2
81,2
82,2
83,1
84,2
85,1
86,1
87,1
88,2
89,1
90,2
91,1
92,1
93,1
94,2
95,1
96,2
97,1
98,2
99,1
100,1
101,2
102,2
103,2
104,1
105,1
106,1
107,2
108,1
109,1
110,1
111,1
112,2
113,1
114,1
115,1
116,1
117,1
118,1
119,2
120,2
121,1
122,1
123,1
124,2
125,2
126,2
127,1
128,2
129,1
130,2
131,2
132,2
133,1
134,2
135,1
136,2
137,1
138,2
139,2
140,1
141,2
142,1
143,2
144,2
145,1
146,2
147,1
148,1
149,1
150,2
151,1
152,2
153,2
154,2
155,2
156,1
157,1
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,1
167,2
168,2
169,1
170,2
171,2
172,2
173,1
174,1
175,2
176,2
177,2
178,1
179,2
180,1
181,2
182,2
183,2
184,2
185,2
186,1
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,1
195,2
196,1
197,2
198,1
199,1
200,2
201,1
202,2
203,1
204,2
205,2
206,1
207,1
208,1
209,1
210,2
211,1
212,1
213,2
214,1
215,1
216,1
217,1
218,2
219,1
220,1
221,2
222,1
223,2
224,2
225,2
226,1
227,1
228,1
229,2
230,2
231,1
232,1
233,2
234,1
235,2
236,1
237,2
238,1
239,1
240,1
241,1
242,2
243,1
244,2
245,2
246,1
247,2
248,1
249,1
250,2
251,1
252,1
253,1
254,2
255,2
256,2
257,2
258,2
259,1
260,2
261,2
262,1
263,2
264,1
265,2
266,2
267,2
268,2
269,2
270,2
271,2
272,2
273,1
274,2
275,2
276,2
277,2
278,1
279,2
280,2
281,2
282,2
283,2
284,1
285,2
286,2
287,2
288,1
289,1
290,1
291,1
292,1
293,2
294,2
295,2
296,2
297,2
298,1
299,1
300,2
301,2
302,1
303,2
304,2
305,2
306,2
307,2
308,1
309,2
310,2
311,1
312,2
313,1
314,1
315,1
316,1
317,2
318,2
319,1
320,2
321,2
322,1
323,2
324,2
325,2
326,1
327,1
328,2
329,1
330,2
331,2
332,2
333,2
334,2
335,1
336,1
337,1
338,1
339,2
340,2
341,1
342,1
343,2
344,1
345,2
346,1
347,2
348,2
349,1
350,1
351,2
352,2
353,2
354,1
355,2
356,2
357,1
358,2
359,2
360,2
361,2
362,2
363,1
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,1
372,2
373,2
374,2
375,2
376,1
377,1
378,2
379,1
380,1
381,2
382,1
383,1
384,2
385,1
386,2
387,2
388,1
389,1
390,2
391,1
392,2
393,1
394,1
395,1
396,2
397,2
398,1
399,2
400,1
401,1
402,2
403,2
404,2
405,2
406,1
407,2
408,2
409,2
410,1
411,2
412,1
413,1
414,1
415,2
416,2
417,1
418,1
419,2
420,2
421,2
422,1
423,2
424,1
425,1
426,1
427,1
428,1
429,1
430,2
431,2
432,1
433,1
434,1
435,2
436,1
437,1
438,1
439,1
440,2
441,1
442,1
443,2
444,2
445,2
446,1
447,2
448,1
449,1
450,1
451,2
452,2
453,1
454,2
455,1
456,1
457,1
458,2
459,1
460,2
461,1
462,1
463,1
464,2
465,1
466,2
467,2
468,2
469,1
470,2
471,2
472,2
473,1
474,2
475,1
476,1
477,1
478,1
479,2
480,1
481,2
482,2
483,1
484,2
485,2
486,2
487,1
488,1
489,1
490,2
491,2
492,1
493,2
494,1
495,1
496,1
497,2
498,2
499,2
500,1
501,1
502,1
503,1
504,2
505,2
506,1
507,1
508,1
509,2
510,1
511,1
512,1
513,2
514,1
515,1
516,2
517,2
518,1
519,1
520,1
521,2
522,2
523,1
524,1
525,2
526,2
527,2
528,1
529,1
530,2
531,1
532,2
533,2
534,1
535,1
536,2
537,1
538,1
539,1
540,1
541,1
542,1
543,2
544,1
545,2
546,2
547,1
548,1
549,2
550,1
551,1
552,1
553,2
554,2
555,1
556,2
557,2
558,2
559,2
560,1
561,1
562,1
563,1
564,2
565,1
566,1
567,1
568,1
569,1
570,2
571,2
572,1
573,1
574,2
575,1
576,2
577,2
578,1
579,2
580,2
581,1
582,1
583,1
584,1
585,1
586,1
587,2
588,1
589,1
590,1
591,1
592,1
593,2
594,2
595,1
596,2
597,2
598,2
599,1
600,1
601,2
602,1
603,2
604,2
605,2
606,1
607,2
608,2
609,2
610,1
611,2
612,1
613,2
614,1
615,1
616,2
617,1
618,1
619,2
620,2
621,1
622,2
623,2
624,2
625,1
626,1
627,2
628,2
629,2
630,1
631,1
632,1
633,1
634,1
635,1
636,2
637,1
638,2
639,2
640,1
641,2
642,2
643,1
644,1
645,2
646,2
647,2
648,2
649,2
650,2
651,2
652,1
653,1
654,2
655,1
656,2
657,2
658,2
659,1
660,1
661,2
662,2
663,2
664,1
665,2
666,2
667,2
668,2
669,2
670,1
671,1
672,2
673,2
674,2
675,2
676,2
677,2
678,2
679,2
680,2
681,2
682,1
683,1
684,1
685,1
686,2
687,2
688,2
689,2
690,2
691,1
692,2
693,2
694,1
695,1
696,1
697,1
698,1
699,2
700,1
701,1
702,1
703,2
704,1
705,2
706,1
707,2
708,2
709,2
710,1
711,2
712,1
713,1
714,1
715,1
716,2
717,1
718,2
719,2
720,2
721,2
722,1
723,1
724,1
725,1
726,1
727,2
728,2
729,2
730,1
731,2
732,1
733,1
734,1
735,1
736,1
737,2
738,2
739,1
740,1
741,2
742,1
743,1
744,2
745,2
746,2
747,2
748,2
749,2
750,1
751,2
752,2
753,2
754,1
755,2
756,2
757,2
758,2
759,2
760,2
761,2
762,1
763,2
764,2
765,2
766,1
767,1
